Product Name ,Consistancy,Finish Type,Normal,Dry,Oily,Sensitive,Coverage Level,SPF 15+,Anti-Aging ,Acne- Fighting,HD,Long-Lasting,Cruelty-Free,Vegan
1,0,0,1,1,0,1,1,0,1,0,1,1,1,1
2,1,1,1,1,0,1,2,0,0,0,0,0,1,1
3,2,1,0,0,1,1,1,0,0,0,0,1,1,1
4,0,0,0,0,1,1,1,0,0,0,0,1,1,1
5,2,1,0,0,1,1,1,0,1,0,0,1,1,1
6,1,1,0,0,1,1,0,0,0,0,0,1,1,1
7,1,0,1,0,0,1,2,0,0,0,0,1,1,1
8,0,0,1,1,0,1,0,0,0,0,0,1,1,1
9,1,2,1,0,1,1,1,1,0,0,0,1,1,1
10,1,2,1,1,0,1,1,0,0,0,0,0,1,1
11,1,1,0,1,0,1,2,0,0,0,0,1,1,1
12,2,1,0,0,1,1,1,0,0,0,0,0,1,1
13,0,0,0,1,0,1,3,0,1,0,0,0,1,1
14,3,0,0,0,1,1,1,0,0,0,0,0,1,1
15,1,1,0,0,1,1,1,0,0,1,0,0,1,1
16,0,0,1,1,1,1,1,1,1,0,0,1,1,1
17,0,0,0,1,0,1,3,0,1,0,0,0,1,1
18,1,1,0,0,1,1,2,0,0,0,0,0,1,1
19,2,0,0,0,1,1,1,0,0,0,0,0,1,1
20,0,0,1,0,0,1,1,0,1,0,1,1,1,1
21,0,0,1,0,0,1,4,0,1,0,0,0,1,1
22,2,0,0,0,1,1,4,0,1,0,0,0,1,1
23,0,3,1,0,0,1,4,0,0,0,0,1,1,1
24,1,2,1,1,0,1,4,0,0,0,0,0,1,1
25,0,0,0,1,0,1,4,0,0,1,0,0,1,1
26,2,0,1,1,1,1,5,0,0,0,0,0,1,1
27,1,0,1,0,1,1,2,1,0,0,0,1,1,1
28,0,0,0,1,0,1,1,0,0,0,0,1,1,1
29,1,0,1,0,0,1,5,1,0,0,0,1,1,1
30,2,1,0,0,1,1,5,0,0,0,0,0,1,1
31,1,0,1,0,0,1,2,0,0,0,0,0,1,1
32,0,3,1,1,1,1,3,0,0,0,1,0,1,1
33,2,3,1,0,0,1,0,0,0,0,0,0,1,1